character,text,final_label
Charles,I think it was flan.,Food
Charles,"Hey, Gina. You know any scalpers? I wanna ask Rosa to go to the Rihanna concert with me, but it's sold out.",Romance
Charles,Yeah. What's your second point?,Conversation Glue
Charles,"Yeah, that was my ex-wife's type too.",Personal Life
Charles,Cool. Where would I find a place that shows old movies?,Personal Life
Charles,Great.,Conversation Glue
Charles,Thank you.,Conversation Glue
Charles,"Oh, man! My muffin. Ahh! Oh, my head! My muffin, my head! And I stepped on the... On my muffin! And my head and my muffin.",Food
Charles,"Hey, that's mine. You took it from my desk.",Personal Life
Charles,Thanks!,Conversation Glue
Charles,"Yeah, he's a little too serious. What do you think, Rosa?",Personal Life
Charles,"Yeah, he seems cool. I agree.",Conversation Glue
Charles,"Jamon lberico is an amazing cured ham from Spain. They had it at my uncle's funeral. I gorged myself at that funeral. I mean, I was constipated for three days.",Food
Charles,"Hey, Rosa! Rosa. Rosa! Um, I just happened to notice that there's an old movie festival playing at the film forum this week. Wanna go?",Romance
Charles,Cool! Awesome. There's a bunch of movie options. I'll probably just go with something classic like Citizen Kane.,Personal Life
Charles,Good call. Smart. I'll do it. I'll pick a better movie than Citizen Kane.,Personal Life
Charles,"No surprises from the coroner. A few gunshots, shoulder and chest.",Police Work
Charles,Mm-hmm.,Conversation Glue
Charles,Yep.,Conversation Glue
Charles,Jamon lberico.,Food
Charles,Beneficio's might.,Food
Charles,You gotta brief the C.O. first.,Police Work
Charles,Great idea.,Conversation Glue
Charles,"Oh! I'm Henry Morgenthau, owner of delicious and expensive hams. Don't I know you from the grocery store?",Food
Charles,On it!,Conversation Glue
Charles,"Whoa, whoa, whoa, whoa, Ratko!",Police Work
Charles,That's a waste of manchego!,Food
Charles,"Oh, well, just to be safe, I bought tickets to all of them.",Personal Life
Charles,"I don't know, I didn't wanna mess up. Because you're sort of... Opinionated.",Emotion
Charles,So we can go see North by Northwest.,Personal Life
Charles,Good call. Smart. Keep it profesh.,Police Work
Charles,Why don't you just go to the movies with me?,Romance
Charles,"Okay. Well, this is awkward.",Emotion
Charles,Stay down.,Police Work
Charles,Dream team.,Emotion
Charles,"Oh, look at this. The drug dealer got a B.A. in art history from Brooklyn college. Interesting, huh?",Police Work
Charles,"Well, it's surprising because you would think he had studied... drugs.",Police Work
Charles,"I just want to apologize for my fellow detectives’ behavior. Okay, my granny also had the gift.",Personal Life
Charles,She was right. She died two years later.,Personal Life
Charles,Rosa. Yes?,Conversation Glue
Charles,Thank you.,Conversation Glue
Charles,"Oh, no. The cabinets are blue.",Police Work
Charles,The psychic predicted the drugs would be found in something blue.,Police Work
Charles,She also made this really depressing prediction about my life.,Emotion
Charles,"And if she's right about where we find the drugs, that means she's right about the other thing.",Police Work
Charles,What color was the hamper?,Police Work
Charles,Yes. The clothes hamper was green. The clothes hamper was green! Drinks on me.,Police Work
Charles,"I hate to be the bearer of bad news, but your psychic friend's predictions about the drug case were wrong, which means all of her predictions are wrong.",Police Work
Charles,We found the cocaine behind a green hamper. Never said “green” or the letter H.,Police Work
Charles,Lady bin?,Conversation Glue
Charles,Nothing. What about you... are doing tonight?,Personal Life
Charles,"Man, you were totally right about the cocaine, and you were also right about Rosa.",Police Work
Charles,The woman I-,Romance
Charles,"Yes, that woman.",Romance
Charles,"Oh, my god.",Emotion
Charles,"I don’t know, man. I’m lost. The universe is a cruel and vexing puzzle. I-I’m at the whim of the cosmos.",Emotion
Charles,Choo. Yes.,Conversation Glue
